               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098538,            0.048319,            0.026371,             0.23052,             0.40977,              0.1923,            0.038887,            0.069275,            0.035684,             0.01903,             0.00299,             0.00299,             0.07309
                   1,            0.076141,            0.037484,             0.01829,             0.36936,             0.54685,             0.35953,            0.082869,             0.07003,            0.027076,           0.0054487,           0.0059887,           0.0059887,            0.046089
                   2,             0.07399,            0.033328,           0.0088121,             0.34302,             0.52491,             0.38565,             0.11276,            0.074489,            0.026142,           0.0039101,            0.008982,            0.008982,            0.019082
                   3,            0.065399,            0.032149,           0.0061331,             0.45369,             0.75166,             0.52241,             0.14369,            0.056432,            0.027689,           0.0025783,             0.00998,             0.00998,             0.00998
                   4,            0.058519,            0.031801,           0.0054707,             0.64384,             0.62808,             0.64387,             0.18373,            0.057456,             0.02717,           0.0031457,             0.00998,             0.00998,             0.00998
                   5,            0.052224,            0.032321,           0.0043257,             0.68157,             0.67565,             0.62916,             0.18067,            0.054438,            0.027826,           0.0032466,           0.0099645,           0.0099645,           0.0099645
                   6,            0.049487,            0.034773,           0.0039189,             0.72093,             0.68205,             0.66916,             0.24379,            0.051448,            0.030641,            0.001705,           0.0099446,           0.0099446,           0.0099446
                   7,             0.04863,            0.030295,           0.0034039,              0.7018,             0.75306,             0.68493,             0.28164,            0.048415,            0.028925,           0.0014554,           0.0099203,           0.0099203,           0.0099203
                   8,            0.046264,            0.030466,           0.0030279,             0.82017,             0.75787,             0.80628,             0.32076,             0.04215,            0.026983,           0.0020384,           0.0098916,           0.0098916,           0.0098916
                   9,            0.045503,            0.031509,           0.0030219,             0.75447,             0.79264,             0.76026,             0.30661,            0.044984,             0.02975,           0.0012752,           0.0098586,           0.0098586,           0.0098586
                  10,            0.044528,            0.029048,           0.0024132,             0.82254,             0.79547,             0.81097,             0.34968,            0.041526,             0.02787,           0.0012968,           0.0098213,           0.0098213,           0.0098213
                  11,            0.044263,            0.032096,           0.0024767,             0.71811,             0.71875,             0.67152,             0.26487,            0.049571,            0.031886,           0.0021156,           0.0097798,           0.0097798,           0.0097798
                  12,            0.043431,            0.031714,            0.003428,             0.79542,             0.76126,             0.76834,             0.31774,            0.043836,            0.029058,            0.002108,            0.009734,            0.009734,            0.009734
                  13,            0.042279,            0.030902,           0.0033098,             0.78049,             0.73484,             0.72318,             0.29318,            0.046744,            0.028863,           0.0014058,            0.009684,            0.009684,            0.009684
                  14,            0.042471,            0.030795,           0.0026371,             0.68236,             0.72099,             0.64491,             0.26151,            0.048739,            0.031217,           0.0010909,           0.0096299,           0.0096299,           0.0096299
                  15,            0.041801,            0.029778,           0.0026264,             0.71358,             0.75039,             0.71732,             0.25865,             0.04899,            0.028984,           0.0016778,           0.0095717,           0.0095717,           0.0095717
                  16,            0.041999,             0.03168,           0.0022778,             0.77987,             0.76061,             0.74026,             0.32716,            0.043987,            0.030713,           0.0010578,           0.0095095,           0.0095095,           0.0095095
                  17,            0.040472,            0.030412,           0.0016844,             0.75127,             0.75155,             0.71652,              0.2772,            0.045169,            0.031439,            0.001156,           0.0094434,           0.0094434,           0.0094434
                  18,            0.040332,            0.029124,           0.0018232,             0.78791,             0.77699,             0.73991,             0.30768,            0.043511,            0.031388,           0.0012147,           0.0093733,           0.0093733,           0.0093733
                  19,            0.039041,            0.027802,           0.0018554,              0.7833,             0.79559,             0.75501,             0.32765,            0.043266,            0.031354,           0.0011421,           0.0092995,           0.0092995,           0.0092995
                  20,            0.040155,            0.028902,           0.0019576,             0.80808,             0.79795,             0.77293,             0.30493,            0.043624,            0.028922,           0.0011328,           0.0092219,           0.0092219,           0.0092219
                  21,             0.03939,            0.028624,           0.0019186,             0.76172,             0.74912,             0.71572,             0.30356,            0.044457,            0.030327,           0.0011819,           0.0091406,           0.0091406,           0.0091406
                  22,            0.038388,            0.028415,           0.0016906,             0.72805,             0.74328,             0.68584,             0.28216,            0.045609,             0.03395,          0.00096367,           0.0090557,           0.0090557,           0.0090557
                  23,            0.038583,            0.028998,           0.0017797,             0.77951,             0.76178,             0.73313,              0.3192,            0.043495,            0.030554,           0.0011757,           0.0089673,           0.0089673,           0.0089673
                  24,            0.038338,            0.027418,           0.0017654,             0.80671,             0.79152,             0.77256,             0.34632,             0.04094,               0.029,           0.0012978,           0.0088755,           0.0088755,           0.0088755
                  25,            0.038631,            0.030338,           0.0016834,             0.75733,             0.74084,             0.70516,             0.30037,            0.043952,            0.031011,           0.0015537,           0.0087804,           0.0087804,           0.0087804
                  26,            0.038215,            0.029647,           0.0018943,             0.78897,             0.77298,             0.74905,             0.31512,            0.044381,             0.03174,           0.0012218,            0.008682,            0.008682,            0.008682
                  27,            0.037511,            0.028359,           0.0019728,             0.77129,             0.76888,             0.73561,             0.32131,            0.043296,            0.031237,           0.0011096,           0.0085805,           0.0085805,           0.0085805
                  28,            0.036623,            0.027076,           0.0013802,              0.7352,              0.7438,             0.68834,             0.31452,            0.045223,            0.033716,          0.00096972,           0.0084759,           0.0084759,           0.0084759
                  29,            0.036556,            0.028489,           0.0013759,             0.73599,              0.7341,             0.67543,             0.28187,             0.04602,            0.034831,           0.0010379,           0.0083684,           0.0083684,           0.0083684
                  30,            0.036217,            0.026524,           0.0011046,             0.76786,             0.77344,             0.73622,             0.30488,            0.043786,             0.03231,           0.0012499,           0.0082581,           0.0082581,           0.0082581
                  31,              0.0363,            0.027671,           0.0013383,             0.77376,             0.73973,             0.70179,             0.29678,            0.044901,            0.033974,          0.00096165,            0.008145,            0.008145,            0.008145
                  32,            0.034768,            0.027596,           0.0013792,             0.74526,              0.7467,             0.69209,             0.29912,            0.044533,             0.03335,          0.00085704,           0.0080294,           0.0080294,           0.0080294
                  33,            0.035391,            0.026876,           0.0012623,             0.77971,             0.77207,              0.7377,             0.32629,            0.042077,            0.032341,          0.00097736,           0.0079112,           0.0079112,           0.0079112
                  34,            0.034759,            0.026428,           0.0016061,             0.79994,             0.83605,             0.80258,             0.34716,            0.040219,            0.029598,           0.0012267,           0.0077907,           0.0077907,           0.0077907
                  35,            0.035366,            0.026839,           0.0012189,             0.76972,             0.74276,             0.71334,             0.30973,            0.044502,            0.034123,          0.00086109,           0.0076679,           0.0076679,           0.0076679
                  36,            0.034802,            0.028343,           0.0014112,              0.8456,             0.82002,             0.81002,             0.34658,            0.040309,            0.028937,           0.0010118,            0.007543,            0.007543,            0.007543
                  37,            0.034566,            0.025954,           0.0011969,              0.7765,             0.76717,             0.73168,             0.33188,            0.042196,            0.032505,          0.00084765,            0.007416,            0.007416,            0.007416
